         64        1250  n2 & nume
   1        1.796  1.436065E+01  9.813868E-02  4.758518E-04
   2        1.815  1.443997E+01  1.031727E-01  4.947776E-04
   3        1.835  1.452235E+01  1.085104E-01  5.144856E-04
   4        1.855  1.460563E+01  1.139061E-01  5.339250E-04
   5        1.875  1.468981E+01  1.193606E-01  5.530954E-04
   6        1.896  1.477491E+01  1.248745E-01  5.719963E-04
   7        1.916  1.486995E+01  1.335789E-01  6.040653E-04
   8        1.937  1.496833E+01  1.431787E-01  6.389869E-04
   9        1.958  1.506778E+01  1.528830E-01  6.733113E-04
  10        1.980  1.516831E+01  1.626930E-01  7.070404E-04
  11        2.001  1.527049E+01  1.728484E-01  7.411463E-04
  12        2.023  1.538216E+01  1.867960E-01  7.893487E-04
  13        2.045  1.549505E+01  2.008954E-01  8.365872E-04
  14        2.067  1.560917E+01  2.151484E-01  8.828688E-04
  15        2.090  1.572453E+01  2.295565E-01  9.282008E-04
  16        2.113  1.585448E+01  2.390456E-01  9.507751E-04
  17        2.136  1.599655E+01  2.445669E-01  9.555280E-04
  18        2.159  1.614017E+01  2.501484E-01  9.600134E-04
  19        2.182  1.628535E+01  2.557907E-01  9.642360E-04
  20        2.206  1.643754E+01  2.684684E-01  9.933534E-04
  21        2.230  1.660684E+01  3.011414E-01  1.091576E-03
  22        2.255  1.677798E+01  3.341701E-01  1.186633E-03
  23        2.279  1.695098E+01  3.675584E-01  1.278594E-03
  24        2.304  1.712831E+01  4.003734E-01  1.363951E-03
  25        2.329  1.732082E+01  4.284717E-01  1.427314E-03
  26        2.354  1.751543E+01  4.568761E-01  1.488200E-03
  27        2.380  1.771216E+01  4.855897E-01  1.546679E-03
  28        2.406  1.792017E+01  5.152066E-01  1.603018E-03
  29        2.432  1.816177E+01  5.471690E-01  1.657339E-03
  30        2.459  1.840599E+01  5.794795E-01  1.708793E-03
  31        2.485  1.865288E+01  6.121417E-01  1.757490E-03
  32        2.512  1.893067E+01  6.514968E-01  1.815793E-03
  33        2.540  1.924509E+01  6.988271E-01  1.884332E-03
  34        2.567  1.956294E+01  7.466730E-01  1.948184E-03
  35        2.595  1.988425E+01  7.950398E-01  2.007597E-03
  36        2.624  2.024464E+01  8.952773E-01  2.180164E-03
  37        2.652  2.061593E+01  1.006699E+00  2.362976E-03
  38        2.681  2.099128E+01  1.119334E+00  2.533080E-03
  39        2.710  2.139209E+01  1.229588E+00  2.678064E-03
  40        2.740  2.183688E+01  1.334361E+00  2.787876E-03
  41        2.770  2.228652E+01  1.440274E+00  2.887691E-03
  42        2.800  2.274105E+01  1.547341E+00  2.978234E-03
  43        2.830  2.334562E+01  1.690117E+00  3.084863E-03
  44        2.861  2.395767E+01  1.834663E+00  3.177808E-03
  45        2.892  2.457638E+01  1.980782E+00  3.258282E-03
  46        2.924  2.536904E+01  2.204803E+00  3.400115E-03
  47        2.956  2.622524E+01  2.456321E+00  3.540405E-03
  48        2.988  2.709076E+01  2.710579E+00  3.656736E-03
  49        3.020  2.818603E+01  3.114796E+00  3.873381E-03
