         EMERC, Phys Rev B 7, 1798 (1973)
    12:05:51  27-APR-86          constant energy loss
    175   chisq= 0.3326  g= 0.18000 sif=   2.7864
 rs=  2.0052   Fermi k=  0.9570   F E=  0.4580   om=  0.6099
   1    1.7959    0.000000    0.000000
   2    1.8155    0.000000    0.000000
   3    1.8352    0.000000    0.000000
   4    1.8552    0.000000    0.000000
   5    1.8754    0.000000    0.000000
   6    1.8958    0.000000    0.000000
   7    1.9165    0.000000    0.000000
   8    1.9373    0.000000    0.000000
   9    1.9584    0.000000    0.000000
  10    1.9798    0.000000    0.000000
  11    2.0013    0.000000    0.000000
  12    2.0231    0.000000    0.000000
  13    2.0451    0.000000    0.000000
  14    2.0674    0.000000    0.000000
  15    2.0899    0.000000    0.000000
  16    2.1127    0.000000    0.000000
  17    2.1357    0.000000    0.000000
  18    2.1590    0.000000    0.000000
  19    2.1825    0.000000    0.000000
  20    2.2062    0.000000    0.000000
  21    2.2303    0.000000    0.000000
  22    2.2545    0.000983    0.000475
  23    2.2791    0.001014    0.001417
  24    2.3039    0.001046    0.002369
  25    2.3290    0.001078    0.003330
  26    2.3544    0.001112    0.004300
  27    2.3800    0.001147    0.005280
  28    2.4059    0.001183    0.006270
  29    2.4321    0.001220    0.007269
  30    2.4586    0.001259    0.008278
  31    2.4854    0.001298    0.009297
  32    2.5124    0.001339    0.010327
  33    2.5398    0.001381    0.011366
  34    2.5674    0.001424    0.012415
  35    2.5954    0.001468    0.013475
  36    2.6237    0.001514    0.014545
  37    2.6522    0.001562    0.015625
  38    2.6811    0.001610    0.016716
  39    2.7103    0.001661    0.017818
  40    2.7398    0.001713    0.018930
  41    2.7697    0.001766    0.020054
  42    2.7998    0.001821    0.021188
  43    2.8303    0.001878    0.022333
  44    2.8611    0.001936    0.023489
  45    2.8923    0.001996    0.024657
  46    2.9238    0.002058    0.025835
  47    2.9556    0.002122    0.027026
  48    2.9878    0.002188    0.028227
  49    3.0203    0.002255    0.029441
  50    3.0532    0.002325    0.030666
  51    3.0865    0.002397    0.031902
  52    3.1201    0.002471    0.033151
  53    3.1541    0.002547    0.034412
  54    3.1884    0.002626    0.035685
  55    3.2231    0.002707    0.036969
  56    3.2582    0.002791    0.038267
  57    3.2937    0.002877    0.039576
  58    3.3296    0.002966    0.040899
  59    3.3658    0.003058    0.042233
  60    3.4025    0.003152    0.043581
  61    3.4395    0.003250    0.044941
  62    3.4770    0.003350    0.046315
  63    3.5148    0.003454    0.047701
  64    3.5531    0.003561    0.049101
  65    3.5918    0.003670    0.050513
  66    3.6309    0.003784    0.051940
  67    3.6704    0.003900    0.053379
  68    3.7104    0.004021    0.054832
  69    3.7508    0.004145    0.056300
  70    3.7917    0.004272    0.057780
  71    3.8330    0.004403    0.059275
  72    3.8747    0.004539    0.060784
  73    3.9169    0.004678    0.062307
  74    3.9595    0.004822    0.063844
  75    4.0027    0.004970    0.065395
  76    4.0462    0.005122    0.066961
  77    4.0903    0.005279    0.068542
  78    4.1348    0.005441    0.070138
  79    4.1799    0.005608    0.071748
  80    4.2254    0.005779    0.073373
  81    4.2714    0.005956    0.075013
  82    4.3179    0.006138    0.076669
  83    4.3649    0.006325    0.078340
  84    4.4125    0.006518    0.080026
  85    4.4605    0.006717    0.081728
  86    4.5091    0.006922    0.083446
  87    4.5582    0.007133    0.085180
  88    4.6078    0.007350    0.086929
  89    4.6580    0.007574    0.088694
  90    4.7087    0.007804    0.090476
  91    4.7600    0.008041    0.092274
  92    4.8118    0.008285    0.094089
  93    4.8642    0.008537    0.095920
  94    4.9172    0.008795    0.097768
  95    4.9707    0.009062    0.099632
  96    5.0249    0.009337    0.101514
  97    5.0796    0.009619    0.103413
  98    5.1349    0.009910    0.105328
  99    5.1908    0.010209    0.107262
 100    5.2473    0.010517    0.109212
 101    5.3045    0.010834    0.111181
 102    5.3622    0.011161    0.113167
 103    5.4206    0.011497    0.115171
 104    5.4796    0.011844    0.117193
 105    5.5393    0.012200    0.119233
 106    5.5996    0.012567    0.121292
 107    5.6606    0.012943    0.123369
 108    5.7222    0.013331    0.125464
 109    5.7846    0.013731    0.127578
 110    5.8475    0.014142    0.129711
 111    5.9112    0.014565    0.131863
 112    5.9756    0.015000    0.134035
 113    6.0407    0.015446    0.136225
 114    6.1064    0.015911    0.138435
 115    6.1729    0.016391    0.140664
